Ano,Edad de la madre,Nacimientos
2000,0,279
2000,10,1
2000,11,0
2000,12,9
2000,13,101
2000,14,500
2000,15,1313
2000,16,2312
2000,17,3463
2000,18,4097
2000,19,4814
2000,20,4869
2000,21,4551
2000,22,4662
2000,23,4525
2000,24,3958
2000,25,3904
2000,26,3740
2000,27,3580
2000,28,3476
2000,29,3202
2000,30,3130
2000,31,2717
2000,32,2480
2000,33,2208
2000,34,1955
2000,35,1826
2000,36,1564
2000,37,1277
2000,38,1061
2000,39,806
2000,40,642
2000,41,419
2000,42,327
2000,43,183
2000,44,104
2000,45,68
2000,46,30
2000,47,13
2000,48,4
2000,49,3
2000,50,1
2000,51,1
2000,52,0
2000,53,0
2000,54,1
2000,55,2
2000,56,0
2000,57,0
2000,59,0
2000,60,0
2001,0,412
2001,10,0
2001,11,6
2001,12,25
2001,13,104
2001,14,466
2001,15,1216
2001,16,2333
2001,17,3103
2001,18,3786
2001,19,4422
2001,20,4841
2001,21,4634
2001,22,4444
2001,23,4552
2001,24,4103
2001,25,3668
2001,26,3690
2001,27,3444
2001,28,3425
2001,29,3199
2001,30,2962
2001,31,2699
2001,32,2516
2001,33,2216
2001,34,2025
2001,35,1797
2001,36,1551
2001,37,1221
2001,38,1045
2001,39,803
2001,40,592
2001,41,428
2001,42,268
2001,43,175
2001,44,100
2001,45,56
2001,46,35
2001,47,11
2001,48,7
2001,49,4
2001,50,2
2001,51,2
2001,52,5
2001,53,3
2001,54,0
2001,55,1
2001,56,0
2001,57,0
2001,59,0
2001,60,0
2002,0,220
2002,10,2
2002,11,3
2002,12,18
2002,13,76
2002,14,374
2002,15,1072
2002,16,2092
2002,17,3187
2002,18,3529
2002,19,4101
2002,20,4433
2002,21,4468
2002,22,4326
2002,23,4147
2002,24,4034
2002,25,3696
2002,26,3342
2002,27,3235
2002,28,3006
2002,29,2768
2002,30,2791
2002,31,2455
2002,32,2266
2002,33,2050
2002,34,1784
2002,35,1670
2002,36,1441
2002,37,1201
2002,38,958
2002,39,779
2002,40,566
2002,41,403
2002,42,290
2002,43,155
2002,44,103
2002,45,43
2002,46,19
2002,47,9
2002,48,5
2002,49,6
2002,50,8
2002,51,2
2002,52,4
2002,53,6
2002,54,0
2002,55,1
2002,56,0
2002,57,0
2002,59,0
2002,60,0
2003,0,403
2003,10,1
2003,11,2
2003,12,24
2003,13,90
2003,14,360
2003,15,1016
2003,16,2120
2003,17,3181
2003,18,3766
2003,19,4278
2003,20,4530
2003,21,4454
2003,22,4563
2003,23,4317
2003,24,4112
2003,25,3932
2003,26,3552
2003,27,3238
2003,28,3197
2003,29,2875
2003,30,2753
2003,31,2486
2003,32,2313
2003,33,2086
2003,34,1821
2003,35,1567
2003,36,1409
2003,37,1214
2003,38,939
2003,39,765
2003,40,524
2003,41,392
2003,42,306
2003,43,163
2003,44,90
2003,45,49
2003,46,22
2003,47,15
2003,48,5
2003,49,1
2003,50,2
2003,51,1
2003,52,0
2003,53,0
2003,54,0
2003,55,3
2003,56,0
2003,57,1
2003,59,0
2003,60,0
2004,0,282
2004,10,1
2004,11,0
2004,12,8
2004,13,79
2004,14,350
2004,15,1007
2004,16,1982
2004,17,3064
2004,18,3763
2004,19,4532
2004,20,4381
2004,21,4334
2004,22,4449
2004,23,4447
2004,24,4170
2004,25,3892
2004,26,3682
2004,27,3342
2004,28,3045
2004,29,2941
2004,30,2657
2004,31,2401
2004,32,2284
2004,33,2016
2004,34,1783
2004,35,1567
2004,36,1365
2004,37,1159
2004,38,981
2004,39,689
2004,40,565
2004,41,352
2004,42,299
2004,43,183
2004,44,85
2004,45,43
2004,46,27
2004,47,15
2004,48,5
2004,49,4
2004,50,0
2004,51,3
2004,52,9
2004,53,1
2004,54,0
2004,55,3
2004,56,0
2004,57,0
2004,59,0
2004,60,0
2005,0,542
2005,10,0
2005,11,1
2005,12,5
2005,13,75
2005,14,373
2005,15,1047
2005,16,1975
2005,17,2846
2005,18,3561
2005,19,4373
2005,20,4548
2005,21,4347
2005,22,4334
2005,23,4166
2005,24,4179
2005,25,4009
2005,26,3688
2005,27,3344
2005,28,3319
2005,29,2841
2005,30,2798
2005,31,2298
2005,32,2146
2005,33,1991
2005,34,1754
2005,35,1541
2005,36,1219
2005,37,1090
2005,38,894
2005,39,730
2005,40,533
2005,41,351
2005,42,274
2005,43,166
2005,44,100
2005,45,42
2005,46,27
2005,47,9
2005,48,2
2005,49,3
2005,50,2
2005,51,1
2005,52,2
2005,53,1
2005,54,0
2005,55,0
2005,56,0
2005,57,1
2005,59,0
2005,60,0
2006,0,402
2006,10,0
2006,11,1
2006,12,11
2006,13,61
2006,14,396
2006,15,981
2006,16,1951
2006,17,2783
2006,18,3530
2006,19,4283
2006,20,4577
2006,21,4764
2006,22,4425
2006,23,4207
2006,24,4116
2006,25,3955
2006,26,3715
2006,27,3457
2006,28,3309
2006,29,2934
2006,30,2712
2006,31,2260
2006,32,2087
2006,33,1898
2006,34,1676
2006,35,1508
2006,36,1256
2006,37,1004
2006,38,857
2006,39,739
2006,40,465
2006,41,360
2006,42,262
2006,43,171
2006,44,102
2006,45,35
2006,46,25
2006,47,11
2006,48,2
2006,49,1
2006,50,1
2006,51,0
2006,52,1
2006,53,0
2006,54,0
2006,55,0
2006,56,0
2006,57,0
2006,59,0
2006,60,0
2007,0,212
2007,10,0
2007,11,4
2007,12,16
2007,13,103
2007,14,377
2007,15,1107
2007,16,1946
2007,17,3034
2007,18,3574
2007,19,4320
2007,20,4811
2007,21,4769
2007,22,4618
2007,23,4467
2007,24,4263
2007,25,4005
2007,26,3784
2007,27,3617
2007,28,3319
2007,29,3190
2007,30,2791
2007,31,2360
2007,32,2221
2007,33,1889
2007,34,1667
2007,35,1457
2007,36,1216
2007,37,1017
2007,38,799
2007,39,687
2007,40,562
2007,41,352
2007,42,254
2007,43,157
2007,44,80
2007,45,55
2007,46,26
2007,47,7
2007,48,8
2007,49,1
2007,50,0
2007,51,0
2007,52,1
2007,53,0
2007,54,0
2007,55,0
2007,56,0
2007,57,0
2007,59,0
2007,60,1
2008,0,184
2008,10,0
2008,11,2
2008,12,20
2008,13,88
2008,14,415
2008,15,1108
2008,16,2082
2008,17,3035
2008,18,3756
2008,19,4674
2008,20,4607
2008,21,4785
2008,22,4876
2008,23,4830
2008,24,4187
2008,25,4066
2008,26,3821
2008,27,3815
2008,28,3503
2008,29,3221
2008,30,2961
2008,31,2474
2008,32,2189
2008,33,1959
2008,34,1776
2008,35,1514
2008,36,1269
2008,37,1016
2008,38,864
2008,39,620
2008,40,458
2008,41,360
2008,42,313
2008,43,158
2008,44,90
2008,45,51
2008,46,20
2008,47,9
2008,48,5
2008,49,5
2008,50,1
2008,51,0
2008,52,0
2008,53,0
2008,54,0
2008,55,0
2008,56,0
2008,57,0
2008,59,0
2008,60,0
2009,0,214
2009,10,0
2009,11,2
2009,12,13
2009,13,100
2009,14,436
2009,15,1105
2009,16,2011
2009,17,2937
2009,18,3642
2009,19,4422
2009,20,4549
2009,21,4500
2009,22,4671
2009,23,4693
2009,24,4424
2009,25,4195
2009,26,3937
2009,27,3740
2009,28,3612
2009,29,3223
2009,30,2956
2009,31,2595
2009,32,2291
2009,33,1932
2009,34,1712
2009,35,1523
2009,36,1298
2009,37,1143
2009,38,905
2009,39,712
2009,40,530
2009,41,344
2009,42,292
2009,43,163
2009,44,95
2009,45,46
2009,46,19
2009,47,8
2009,48,5
2009,49,3
2009,50,2
2009,51,0
2009,52,0
2009,53,0
2009,54,0
2009,55,0
2009,56,0
2009,57,0
2009,59,0
2009,59,
2009,60,0
2009,60,
2010,0,205
2010,10,1
2010,11,2
2010,12,12
2010,13,80
2010,14,333
2010,15,1000
2010,16,1879
2010,17,2665
2010,18,3366
2010,19,3918
2010,20,4372
2010,21,4367
2010,22,4108
2010,23,4298
2010,24,4208
2010,25,4190
2010,26,3605
2010,27,3519
2010,28,3372
2010,29,3315
2010,30,2997
2010,31,2651
2010,32,2291
2010,33,2023
2010,34,1686
2010,35,1433
2010,36,1235
2010,37,990
2010,38,819
2010,39,622
2010,40,479
2010,41,338
2010,42,226
2010,43,136
2010,44,86
2010,45,51
2010,46,29
2010,47,12
2010,48,2
2010,49,0
2010,50,0
2010,51,0
2010,52,0
2010,53,1
2010,54,0
2010,55,0
2010,56,0
2010,57,0
2010,59,0
2010,60,0
2011,0,273
2011,10,0
2011,11,0
2011,12,9
2011,13,89
2011,14,379
2011,15,1049
2011,16,2033
2011,17,2757
2011,18,3516
2011,19,4037
2011,20,4311
2011,21,4445
2011,22,4285
2011,23,4122
2011,24,4211
2011,25,4264
2011,26,4189
2011,27,3585
2011,28,3380
2011,29,3332
2011,30,3129
2011,31,2741
2011,32,2508
2011,33,2098
2011,34,1836
2011,35,1521
2011,36,1353
2011,37,1052
2011,38,918
2011,39,703
2011,40,482
2011,41,337
2011,42,234
2011,43,120
2011,44,77
2011,45,47
2011,46,19
2011,47,11
2011,48,6
2011,49,0
2011,50,0
2011,51,1
2011,52,0
2011,53,0
2011,54,0
2011,55,0
2011,56,0
2011,57,0
2011,59,0
2011,60,0
2012,0,337
2012,10,0
2012,11,2
2012,12,16
2012,13,84
2012,14,420
2012,15,1130
2012,16,1998
2012,17,3025
2012,18,3432
2012,19,4087
2012,20,4255
2012,21,4179
2012,22,4240
2012,23,4219
2012,24,3963
2012,25,3983
2012,26,3925
2012,27,3789
2012,28,3454
2012,29,3234
2012,30,3145
2012,31,2791
2012,32,2621
2012,33,2104
2012,34,1927
2012,35,1638
2012,36,1285
2012,37,1039
2012,38,845
2012,39,698
2012,40,516
2012,41,386
2012,42,244
2012,43,147
2012,44,95
2012,45,38
2012,46,17
2012,47,4
2012,48,2
2012,49,3
2012,50,2
2012,51,2
2012,52,2
2012,53,1
2012,54,0
2012,55,0
2012,56,1
2012,57,0
2012,59,1
2012,60,0
2013,0,309
2013,10,0
2013,11,1
2013,12,11
2013,13,90
2013,14,371
2013,15,1010
2013,16,1865
2013,17,2522
2013,18,3202
2013,19,3852
2013,20,4008
2013,21,4020
2013,22,3890
2013,23,4089
2013,24,3822
2013,25,3750
2013,26,3711
2013,27,3771
2013,28,3730
2013,29,3162
2013,30,2983
2013,31,2618
2013,32,2513
2013,33,2189
2013,34,1913
2013,35,1696
2013,36,1372
2013,37,1114
2013,38,863
2013,39,682
2013,40,507
2013,41,354
2013,42,232
2013,43,146
2013,44,87
2013,45,45
2013,46,25
2013,47,12
2013,48,12
2013,49,0
2013,50,0
2013,51,0
2013,52,0
2013,53,0
2013,54,0
2013,55,0
2013,56,1
2013,57,0
2013,59,0
2013,60,0
2014,0,271
2014,10,0
2014,11,1
2014,12,14
2014,13,93
2014,14,401
2014,15,976
2014,16,1768
2014,17,2459
2014,18,2983
2014,19,3813
2014,20,3794
2014,21,4042
2014,22,3975
2014,23,3891
2014,24,3977
2014,25,3907
2014,26,3616
2014,27,3696
2014,28,3851
2014,29,3566
2014,30,3333
2014,31,2876
2014,32,2649
2014,33,2383
2014,34,2061
2014,35,1759
2014,36,1429
2014,37,1156
2014,38,915
2014,39,701
2014,40,501
2014,41,341
2014,42,273
2014,43,150
2014,44,85
2014,45,46
2014,46,19
2014,47,10
2014,48,4
2014,49,2
2014,50,1
2014,51,3
2014,52,0
2014,53,0
2014,54,1
2014,55,1
2014,56,0
2014,57,0
2014,59,0
2014,60,0
2015,0,313
2015,10,0
2015,11,1
2015,12,13
2015,13,60
2015,14,359
2015,15,943
2015,16,1669
2015,17,2265
2015,18,2835
2015,19,3465
2015,20,3970
2015,21,3745
2015,22,3953
2015,23,3971
2015,24,3759
2015,25,3844
2015,26,3874
2015,27,3558
2015,28,3729
2015,29,3572
2015,30,3397
2015,31,2908
2015,32,2748
2015,33,2499
2015,34,2270
2015,35,1909
2015,36,1576
2015,37,1247
2015,38,1011
2015,39,783
2015,40,581
2015,41,372
2015,42,266
2015,43,159
2015,44,96
2015,45,55
2015,46,23
2015,47,8
2015,48,8
2015,49,2
2015,50,2
2015,51,0
2015,52,0
2015,53,1
2015,54,0
2015,55,0
2015,56,0
2015,57,0
2015,59,0
2015,60,0
2016,0,172
2016,10,0
2016,11,1
2016,12,9
2016,13,53
2016,14,286
2016,15,833
2016,16,1557
2016,17,2113
2016,18,2728
2016,19,3344
2016,20,3689
2016,21,3755
2016,22,3815
2016,23,3853
2016,24,3886
2016,25,3758
2016,26,3757
2016,27,3635
2016,28,3509
2016,29,3564
2016,30,3595
2016,31,3000
2016,32,2694
2016,33,2335
2016,34,2099
2016,35,1924
2016,36,1570
2016,37,1243
2016,38,1025
2016,39,721
2016,40,525
2016,41,390
2016,42,257
2016,43,149
2016,44,69
2016,45,48
2016,46,25
2016,47,12
2016,48,5
2016,49,0
2016,50,0
2016,51,0
2016,52,0
2016,53,1
2016,54,0
2016,55,0
2016,56,0
2016,57,0
2016,59,0
2016,60,0
2017,0,28
2017,10,0
2017,11,0
2017,12,10
2017,13,50
2017,14,241
2017,15,720
2017,16,1444
2017,17,2060
2017,18,2504
2017,19,3121
2017,20,3469
2017,21,3566
2017,22,3893
2017,23,3789
2017,24,3673
2017,25,3768
2017,26,3732
2017,27,3636
2017,28,3606
2017,29,3201
2017,30,3306
2017,31,3120
2017,32,2954
2017,33,2373
2017,34,2216
2017,35,1868
2017,36,1730
2017,37,1339
2017,38,1044
2017,39,808
2017,40,586
2017,41,401
2017,42,252
2017,43,152
2017,44,77
2017,45,43
2017,46,21
2017,47,6
2017,48,4
2017,49,2
2017,50,0
2017,51,0
2017,52,1
2017,53,0
2017,54,1
2017,55,1
2017,56,0
2017,57,0
2017,59,0
2017,60,0
